-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
106;76461;0;61976;1;0;0;0;96399;66623
107;65063;0;77960;267;0;0;0;89446;69361
108;69170;0;57170;0;0;0;0;86338;62021
109;90201;0;46117;0;0;0;0;86364;38510
110;66031;0;56476;0;0;0;0;95929;59550
111;64137;0;66387;0;0;0;0;89938;67675
112;77061;0;60224;0;0;0;0;87792;57477
113;107554;0;33159;0;0;0;0;89305;19267
114;164915;0;13913;0;0;0;0;5275;4725
115;34429;0;5379;0;0;0;0;5275;4725
116;44708;0;4371;0;0;0;0;5275;5400
117;72288;0;4368;0;0;0;0;5275;5400
118;82619;0;4393;0;0;0;0;5275;5400
119;89311;0;4437;0;0;0;0;3956;4050
120;100092;0;4573;0;0;0;0;0;3375
121;105671;0;4709;0;0;0;0;0;3375
122;109886;0;4754;0;0;0;0;0;3375
123;111631;0;4693;0;0;0;0;0;3375
124;110774;0;4524;0;0;0;0;0;3375
125;110916;0;4448;0;0;0;0;0;3375
126;112900;0;4463;0;0;0;0;0;3375
127;398378;0;4469;0;0;0;0;4287;3484
128;152764;0;4530;0;0;0;0;85079;20617
129;85763;0;18940;0;0;0;0;89397;55070
130;70613;0;52633;14;0;0;0;91770;64180
131;66002;0;61701;351;0;0;0;85849;64475
132;60016;0;52132;0;0;0;0;83490;62021
133;75308;0;43421;0;0;0;0;83396;38510
134;58242;0;48595;0;0;0;0;92255;58085
135;58411;0;54071;0;0;0;0;86498;65232
136;69299;0;53393;0;0;0;0;84945;56499
137;96221;0;32296;0;0;0;0;86428;19267
138;169465;0;14233;0;0;0;0;5275;4725
139;41586;0;5619;0;0;0;0;5275;4725
140;46004;0;4530;0;0;0;0;5275;5400
141;75968;0;4568;0;0;0;0;5275;5400
142;89379;0;4685;0;0;0;0;5275;5400
143;96380;0;4743;0;0;0;0;3956;4050
144;105737;0;4802;0;0;0;0;0;3375
145;112145;0;4954;0;0;0;0;0;3375
146;117692;0;5121;0;0;0;0;0;3375
147;120039;0;5197;0;0;0;0;0;3375
148;120609;0;5243;0;0;0;0;0;3375
149;125145;0;5334;0;0;0;0;0;3375
150;130523;0;5380;0;0;0;0;0;3375
151;418188;0;5603;0;0;0;0;4287;3484
