,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
8649,4182,4182,9338,14061,23400,0,1821
8650,4141,4141,9944,14187,24131,0,1826
8651,4105,4105,9495,14300,23795,0,1829
8652,4073,4073,14382,14398,28781,0,1832
8653,4045,4045,12606,14487,27094,0,1837
8654,4020,4020,11051,14566,25617,0,1840
8655,3999,3999,9740,14635,24375,0,1840
8656,3980,3980,9117,14699,23816,0,1840
8657,3964,3964,8678,14757,23436,0,1840
8658,3950,3950,4279,14813,19093,0,1981
8659,3936,3936,3643,14864,18507,0,1981
