,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
491,0,5169,0,14752
492,0,5147,0,11843
493,0,11894,0,9927
494,0,7027,0,11051
495,0,5820,0,12472
496,0,8269,0,12621
497,0,17694,0,6903
498,0,45546,0,2310
499,0,1230,0,258
500,0,1322,0,15
501,0,3780,0,1
502,0,6381,0,0
503,0,8245,0,0
504,0,9124,0,0
505,0,10394,0,0
506,0,11474,0,0
507,0,12446,0,0
508,0,13592,0,0
509,0,14295,0,0
510,0,15502,0,0
511,0,149688,0,0
512,0,47272,0,7
513,0,17888,0,5222
514,0,7649,0,16715
515,0,4022,0,17743
516,0,3007,0,13191
517,0,6829,0,10139
518,0,5529,0,11419
519,81,5229,0,12963
520,0,7913,0,13508
521,0,17992,0,7866
522,0,47033,0,2715
523,0,1286,0,294
524,0,1477,0,16
525,0,4727,0,1
526,0,6396,0,0
527,0,7230,0,0
528,0,7293,0,0
529,0,7357,0,0
530,0,7556,0,0
531,0,7836,0,0
532,0,8305,0,0
533,0,8936,0,0
534,0,9840,0,0
535,0,11178,0,0
536,0,12542,0,0
537,0,12417,0,0
538,0,9653,0,0
539,0,7106,0,0
540,0,4601,0,0
541,0,2453,0,0
542,0,2901,0,0
543,0,5763,0,0
544,0,8493,0,0
545,0,11135,0,0
546,0,13404,0,0
547,0,14413,0,0
548,0,15383,0,0
549,0,17401,0,0
550,0,19128,0,0
551,0,19802,0,0
552,0,20724,0,0
553,0,22468,0,0
554,0,23808,0,0
555,0,24274,0,0
556,0,24633,0,0
557,0,26619,0,0
558,0,28519,0,0
559,0,30158,0,0
560,0,31033,0,0
561,0,26704,0,0
562,0,17538,0,0
563,0,15458,0,0
564,0,12460,0,0
565,0,11245,0,0
566,0,16495,0,0
567,0,22817,0,0
568,0,28784,0,0
569,0,34145,0,0
570,0,36805,0,0
571,0,37425,0,0
572,0,37982,0,0
573,0,38349,0,0
574,0,37971,0,0
575,0,37139,0,0
576,0,36236,0,0
577,0,37802,0,0
578,0,39355,0,0
579,0,39143,0,0
